,Color Chosen
2018-07-31,14
2018-08-01,16
2018-08-02,8
2018-08-03,25
2018-08-04,0
2018-08-05,26
2018-08-06,14
2018-08-07,29
2018-08-08,18
2018-08-09,22
2018-08-10,15
2018-08-11,4
2018-08-12,29
2018-08-13,5
2018-08-14,7
2018-08-15,21
2018-08-16,13
2018-08-17,5
2018-08-18,0
2018-08-19,29
2018-08-20,3
2018-08-21,15
2018-08-22,0
2018-08-23,25
2018-08-24,13
2018-08-25,19
2018-08-26,11
2018-08-27,25
2018-08-28,17
2018-08-29,24
2018-08-30,22
2018-08-31,20
2018-09-01,24
2018-09-02,14
2018-09-03,11
2018-09-04,5
2018-09-05,24
2018-09-06,23
2018-09-07,22
2018-09-08,14
2018-09-09,25
2018-09-10,11
2018-09-11,7
2018-09-12,18
2018-09-13,12
2018-09-14,15
2018-09-15,2
2018-09-16,25
2018-09-17,0
2018-09-18,3
2018-09-19,16
2018-09-20,9
2018-09-21,17
2018-09-22,10
2018-09-23,7
2018-09-24,1
2018-09-25,5
2018-09-26,5
2018-09-27,8
2018-09-28,7
2018-09-29,10
2018-09-30,4
2018-10-01,11
2018-10-02,9
2018-10-03,29
2018-10-04,9
2018-10-05,13
2018-10-06,20
2018-10-07,4
2018-10-08,9
2018-10-09,18
2018-10-10,26
2018-10-11,18
2018-10-12,26
2018-10-13,26
2018-10-14,4
2018-10-15,19
2018-10-16,17
2018-10-17,22
2018-10-18,6
2018-10-19,11
2018-10-20,5
2018-10-21,14
2018-10-22,7
2018-10-23,20
2018-10-24,9
2018-10-25,7
2018-10-26,6
2018-10-27,26
2018-10-28,12
2018-10-29,29
2018-10-30,7
2018-10-31,7
2018-11-01,4
2018-11-02,17
2018-11-03,25
2018-11-04,11
2018-11-05,29
2018-11-06,29
2018-11-07,4
2018-11-08,3
2018-11-09,12
2018-11-10,4
2018-11-11,29
2018-11-12,8
2018-11-13,10
2018-11-14,23
2018-11-15,22
2018-11-16,15
2018-11-17,23
2018-11-18,9
2018-11-19,21
2018-11-20,7
2018-11-21,14
2018-11-22,23
2018-11-23,29
2018-11-24,21
2018-11-25,20
2018-11-26,0
2018-11-27,15
2018-11-28,26
2018-11-29,23
2018-11-30,6
2018-12-01,1
2018-12-02,9
2018-12-03,28
2018-12-04,0
2018-12-05,17
2018-12-06,2
2018-12-07,23
2018-12-08,5
2018-12-09,15
2018-12-10,26
2018-12-11,23
2018-12-12,10
2018-12-13,17
2018-12-14,16
2018-12-15,11
2018-12-16,17
2018-12-17,20
2018-12-18,26
2018-12-19,1
2018-12-20,3
2018-12-21,27
2018-12-22,9
2018-12-23,10
2018-12-24,28
2018-12-25,11
2018-12-26,25
2018-12-27,5
2018-12-28,10
2018-12-29,27
2018-12-30,12
2018-12-31,9
